,index,year,وجه نقد,حساب دریافتنی,سرمایه گذاری کوتاه مدت,موجودی کالا,دارایی جاری,سرمایه گذاری بلند مدت,دارایی ثابت,دارایی نامشهود,دارایی,حساب پرداختنی,بدهی جاری,بدهی,سرمایه,سود انباشته,حقوق صاحبان سهام,season,stock,target
0,1,1387.0,,,,,,,,,,,,,,,,3,واميد,52232388263291380
1,2,1388.0,18838.0,2123873.0,468563.0,0.0,2830466.0,5962266.0,47428.0,154.0,8852040.0,42396.0,789666.0,789797.0,4000000.0,2376276.0,8062243.0,3,واميد,52232388263291380
2,3,1389.0,47670.0,4077251.0,513096.0,0.0,5234205.0,5804341.0,123166.0,143.0,11350501.0,0.0,1701122.0,1701405.0,5000000.0,3690367.0,9649096.0,3,واميد,52232388263291380
3,4,1390.0,326501.0,1496681.0,600182.0,0.0,3526208.0,9814800.0,106147.0,148.0,13498327.0,0.0,3020138.0,3020464.0,10000000.0,4223760.0,10477863.0,3,واميد,52232388263291380
4,5,1391.0,187259.0,4343648.0,4257086.0,0.0,11457881.0,13142625.0,194662.0,148.0,26033342.0,869770.0,11693259.0,12819032.0,10000000.0,1371318.0,13214310.0,3,واميد,52232388263291380
5,6,1392.0,347204.0,6085113.0,5097342.0,0.0,15955653.0,16667824.0,193635.0,152.0,34118131.0,759858.0,11004172.0,12116318.0,20000000.0,9911938.0,22001813.0,3,واميد,52232388263291380
6,7,1393.0,1214380.0,10728687.0,3664230.0,0.0,19086325.0,28254337.0,27213.0,152.0,49381834.0,230901.0,8186605.0,9275639.0,30000000.0,17441637.0,40106195.0,3,واميد,52232388263291380
7,8,1394.0,714320.0,15270309.0,2447634.0,0.0,22682934.0,39522868.0,26707.0,150.0,65073207.0,0.0,8905017.0,9994296.0,30000000.0,21442824.0,55078911.0,3,واميد,52232388263291380
8,9,1395.0,101338.0,18217288.0,721075.0,0.0,22195844.0,47283617.0,26461.0,152.0,74900479.0,0.0,23218871.0,23221077.0,30000000.0,17310885.0,51679402.0,3,واميد,52232388263291380
9,10,1396.0,133642.0,0.0,721075.0,0.0,18003507.0,56346826.0,594251.0,129.0,79990770.0,0.0,35063041.0,35068639.0,30000000.0,8886065.0,44922131.0,3,واميد,52232388263291380
10,1,1387.0,,,,,,,,,,,,,,,,6,واميد,52232388263291380
