symbol,year,company,legal_reserve,exchange,approved_date,restatement,integrative,current_liabilities,noncurrent_liabilities,shareholders_equity,approved_shareholders_equity,current_assets,noncurrent_assets,total_liabilities,total_liabilities_plus_shareholders_equity,total_assets,audited,public_rights,net_fixed_assets,fiscal_year,other_reserves,capital,investments_and_other_assets,retained_earnings,type
آ س پ,1388,آ.س.پ,6000.0,,13890815,بلی,خیر,117109.0,7284.0,144017.0,,235013.0,33397.0,124393.0,268410.0,268410.0,خیر,,30702.0,13880631,,60000.0,2695.0,78017.0,*12ماهه
آ س پ,1390,آ.س.پ,19020.0,,13900821,,-,182053.0,3630.0,388311.0,221211.0,513668.0,60326.0,185683.0,573994.0,573994.0,-,,34111.0,13900631,,200000.0,26215.0,169291.0,مجمع
آ س پ,1391,آ.س.پ,20000.0,,13910930,,-,378990.0,11387.0,378982.0,220422.0,712473.0,56886.0,390377.0,769359.0,769359.0,-,,40459.0,13910631,,200000.0,16427.0,158982.0,مجمع
آ س پ,1392,آ.س.پ,20000.0,,13920925,,-,812305.0,6690.0,373433.0,316783.0,1144808.0,47620.0,818995.0,1192428.0,1192428.0,-,,35980.0,13920631,,200000.0,11640.0,153433.0,مجمع
آ س پ,1393,آ.س.پ,20000.0,,13931007,,-,628696.0,9223.0,582811.0,-63189.0,1150692.0,70038.0,637919.0,1220730.0,1220730.0,-,,32894.0,13930631,,200000.0,29721.0,221524.0,مجمع
آ س پ,1394,آ.س.پ,25613.0,,13941005,,-,420127.0,12392.0,1015063.0,906713.0,1253342.0,194240.0,432519.0,1447582.0,1447582.0,-,,38543.0,13940631,,800000.0,40529.0,189450.0,مجمع
آ س پ,1395,آ.س.پ,26572.0,,13950916,,-,535339.0,13339.0,888284.0,888284.0,1302151.0,134811.0,548678.0,1436962.0,1436962.0,-,,90681.0,13950631,,800000.0,4626.0,61712.0,مجمع
آ س پ,1396,آ.س.پ,30570.0,,13961009,,-,491651.0,12335.0,944884.0,880884.0,1276998.0,171872.0,503986.0,1448870.0,1448870.0,-,,77972.0,13960631,,800000.0,3174.0,114314.0,مجمع
آ س پ,1397,آ.س.پ,30870.0,فرابورس,13980229,بلی,خیر,556858.0,13055.0,853267.0,,1051967.0,371213.0,569913.0,1423180.0,1423180.0,خیر,,52445.0,13970631,,800000.0,231018.0,22397.0,*12ماهه
آبفر,1382,آبفر,300.0,,13830424,,-,38461.0,6594.0,15280.0,15280.0,50305.0,10030.0,45055.0,60335.0,60335.0,-,,9767.0,13821229,,12000.0,263.0,-20.0,مجمع
آبفر,1383,آبفر,300.0,,13840423,,-,51893.0,5170.0,-1948.0,-1948.0,42115.0,13000.0,57063.0,55115.0,55115.0,-,,10666.0,13831229,,13800.0,2334.0,-19048.0,مجمع
آبفر,1384,آبفر,300.0,,13850705,خیر,خیر,56393.0,4484.0,-9652.0,,39456.0,11769.0,60877.0,51225.0,51225.0,بلی,,10268.0,13841229,,16800.0,1501.0,-26752.0,*12ماهه
آبفر,1385,آبفر,300.0,بورس تهران,13860413,خیر,خیر,65051.0,5726.0,-18089.0,,41695.0,10993.0,70777.0,52688.0,52688.0,بلی,,9627.0,13851229,,16800.0,1366.0,-35189.0,*12ماهه
آبین,1391,کشت و صنعت آبشیرین,800.0,,13920826,بلی,خیر,24389.0,37338.0,315499.0,,63075.0,314151.0,61727.0,377226.0,377226.0,خیر,,313730.0,13911229,,294635.0,307.0,7491.0,*12ماهه
آبین,1392,کشت و صنعت آبشیرین,1553.0,,13930927,,-,31457.0,47304.0,324457.0,299626.0,46564.0,356654.0,78761.0,403218.0,403218.0,-,,355164.0,13921229,,294635.0,1307.0,15030.0,مجمع
آبین,1393,کشت و صنعت آبشیرین,1922.0,,13940619,,-,41452.0,53231.0,319577.0,300526.0,32487.0,381773.0,94683.0,414260.0,414260.0,-,,360037.0,13931229,,294635.0,21572.0,9670.0,مجمع
آبین,1394,کشت و صنعت آبشیرین,2179.0,,13950431,,-,49198.0,63491.0,320008.0,297909.0,42090.0,390607.0,112689.0,432697.0,432697.0,-,,368804.0,13941229,,294635.0,21658.0,8268.0,مجمع
آبین,1395,کشت و صنعت آبشیرین,2633.0,,13961006,,-,75765.0,43735.0,320908.0,299416.0,41105.0,399303.0,119500.0,440408.0,440408.0,-,,379274.0,13951229,,294635.0,19885.0,9321.0,مجمع
آبین,1396,کشت و صنعت آبشیرین,2946.0,فرابورس,13970513,,-,80356.0,59775.0,319187.0,298302.0,43800.0,415518.0,140131.0,459318.0,459318.0,-,,396671.0,13961229,193.0,294635.0,18703.0,7894.0,مجمع
آبین,1397,کشت و صنعت آبشیرین,4710.0,فرابورس,13980514,,-,89458.0,102235.0,325172.0,304548.0,141729.0,375136.0,191693.0,516865.0,516865.0,-,,352270.0,13971229,193.0,294635.0,22722.0,25634.0,مجمع
آداک,1394,صنعت و تجارت آداک,,,13951015,بلی,خیر,1175086.0,2132401.0,548940.0,,364114.0,3492313.0,3307487.0,3856427.0,3856427.0,خیر,,,13940631,,10000.0,3492313.0,-51420.0,*12ماهه
آداک,1396,صنعت و تجارت آداک,17008.0,,13960830,,-,2153531.0,1187206.0,1191755.0,1159566.0,419838.0,4112654.0,3340737.0,4532492.0,4532492.0,-,,666.0,13960631,,870000.0,4111988.0,304747.0,مجمع
آداک,1397,صنعت و تجارت آداک,17008.0,فرابورس,13971029,,-,2692523.0,865021.0,1060345.0,929845.0,387282.0,4230607.0,3557544.0,4617889.0,4617889.0,-,,590.0,13970631,,870000.0,4229917.0,173337.0,مجمع
آرد تجارت,1384,آرد تجارت,518.0,فرابورس,13841229,خیر,خیر,13300.0,966.0,17373.0,,2595.0,29044.0,14266.0,31639.0,31639.0,خیر,,28736.0,13841229,,12500.0,308.0,4355.0,*12ماهه
آرمان,1390,بیمه آرمان,2444.0,,13910414,,-,11465.0,,648881.0,617382.0,479931.0,180429.0,11479.0,660360.0,660360.0,-,,,13901229,,600000.0,,41549.0,مجمع
آرمان,1391,بیمه آرمان,5835.0,,13920402,,-,498357.0,1947.0,685201.0,623201.0,728262.0,461089.0,505963.0,1191164.0,1191164.0,-,,,13911229,,600000.0,266029.0,67696.0,مجمع
آرمان,1392,بیمه آرمان,12382.0,,13930804,بلی,خیر,1362399.0,5853.0,1173576.0,,1987863.0,543348.0,1372086.0,2545662.0,2545662.0,خیر,,,13921229,,600000.0,306830.0,87072.0,*12ماهه
آرمان,1393,بیمه آرمان,25302.0,,13950426,بلی,خیر,2712087.0,12794.0,1456605.0,,2983605.0,1218291.0,2745291.0,4201896.0,4201896.0,خیر,,,13931229,,1200000.0,648579.0,180700.0,*12ماهه
آرمان,1395,بیمه آرمان,30777.0,,13960813,,-,2919433.0,17700.0,1382473.0,1370473.0,3761411.0,601594.0,2980532.0,4363005.0,4363005.0,-,,,13951229,,1200000.0,211039.0,90141.0,مجمع
آرمان,1396,بیمه آرمان,30777.0,فرابورس,13971124,بلی,خیر,4025133.0,16849.0,863680.0,,4127574.0,982432.0,4264749.0,5128429.0,5128429.0,خیر,,,13961229,,1200000.0,203334.0,-428652.0,*12ماهه
آریان,1386,سر. پارس آریان,42264.0,,13880420,بلی,خیر,1052837.0,391.0,2403773.0,,1764750.0,1692251.0,1053228.0,3457001.0,3457001.0,خیر,,30572.0,13861229,,1800000.0,1661679.0,61509.0,*12ماهه
آریان,1388,سر. پارس آریان,99515.0,,13900413,بلی,خیر,1404014.0,913.0,3675096.0,,1651509.0,3428514.0,1404927.0,5080023.0,5080023.0,خیر,,36584.0,13881229,,2760000.0,3391930.0,815581.0,*12ماهه
آریان,1390,سر. پارس آریان,297894.0,,13910427,,-,3126723.0,1670.0,11193313.0,9780213.0,6747663.0,7574043.0,3128393.0,14321706.0,14321706.0,-,,34919.0,13901229,,8280000.0,7539124.0,2615419.0,مجمع
آریان,1391,سر. پارس آریان,407611.0,,13920431,,-,4282884.0,2405.0,11974532.0,10581132.0,7797702.0,8462119.0,4285289.0,16259821.0,16259821.0,-,,33880.0,13911229,-910800.0,9190800.0,8428239.0,3286921.0,مجمع
آریان,1392,سر. پارس آریان,570829.0,,13930430,,-,5319061.0,3408.0,13875583.0,10872583.0,6707153.0,12490899.0,5322469.0,19198052.0,19198052.0,-,,33327.0,13921229,,9190800.0,12453184.0,4090364.0,مجمع
آریان,1393,سر. پارس آریان,741719.0,,13940527,,-,4339996.0,5019.0,16575231.0,13406230.0,5311919.0,15608327.0,4345015.0,20920246.0,20920246.0,-,,138768.0,13931229,,11500000.0,15469559.0,4333512.0,مجمع
آریان,1394,سر. پارس آریان,933880.0,,13950512,,-,3434795.0,9138.0,23052097.0,20768972.0,8345268.0,18150762.0,3443933.0,26496030.0,26496030.0,-,,362518.0,13941229,,14375000.0,17763377.0,4807149.0,مجمع
آریان,1395,سر. پارس آریان,933880.0,,13960219,خیر,خیر,2961402.0,11482.0,22858265.0,,5212349.0,20618800.0,2972884.0,25831149.0,25831149.0,خیر,,356825.0,13951229,,19817375.0,20238842.0,2107010.0,*12ماهه
آریان,1396,سر. پارس آریان,945843.0,فرابورس,13971012,,-,3347198.0,154222.0,23511807.0,23511806.0,4307509.0,22705718.0,3501420.0,27013227.0,27013227.0,-,,331527.0,13961229,,19817375.0,22374191.0,2748589.0,مجمع
آریان,1397,سر. پارس آریان,1021540.0,فرابورس,13980517,,-,2733990.0,69941.0,25025749.0,24332141.0,5213092.0,22616588.0,2803931.0,27829680.0,27829680.0,-,,316218.0,13971229,,19817375.0,22300370.0,4186834.0,مجمع
آسیا,1386,بیمه آسیا,23084.0,,13880924,خیر,خیر,4745820.0,105228.0,614802.0,,3061496.0,2229052.0,4875493.0,5490295.0,5490295.0,خیر,,,13861229,69600.0,455000.0,1603524.0,29973.0,*12ماهه
آسیا,1388,بیمه آسیا,35372.0,,13890901,بلی,خیر,5685943.0,166883.0,778134.0,,4565046.0,1765107.0,5887364.0,6665498.0,6665498.0,خیر,,,13881229,16597.0,455000.0,1099835.0,245680.0,*12ماهه
آسیا,1389,بیمه آسیا,41732.0,,13900730,بلی,خیر,6834751.0,212865.0,678427.0,,5379631.0,2122830.0,7133660.0,7812087.0,7812087.0,خیر,,,13891229,64800.0,455000.0,1429317.0,116895.0,*12ماهه
آسیا,1390,بیمه آسیا,47104.0,,13911101,بلی,خیر,9299623.0,221809.0,697098.0,,7347451.0,2743514.0,9682003.0,10379101.0,10379101.0,خیر,,,13901229,16597.0,455000.0,2023344.0,119449.0,*12ماهه
آسیا,1391,بیمه آسیا,54657.0,,13921105,بلی,خیر,14308799.0,263586.0,2517699.0,,10879215.0,6071055.0,14698179.0,17215878.0,17215878.0,خیر,,,13911229,16597.0,455000.0,3358468.0,72333.0,*12ماهه
آسیا,1392,بیمه آسیا,64711.0,,13931102,بلی,خیر,17204235.0,320508.0,2486037.0,,13062167.0,6817621.0,17778963.0,20265000.0,20265000.0,خیر,,,13921229,16597.0,2300000.0,3205397.0,10564.0,*12ماهه
